TeamID,TeamName,PlayoffRank,PlayoffWins,PlayoffScore
1610612737,Atlanta Hawks,4,48,6.0
1610612738,Boston Celtics,5,48,6.0
1610612739,Cleveland Cavaliers,1,57,6.0
1610612740,New Orleans Pelicans,12,30,6.0
1610612741,Chicago Bulls,9,42,6.0
1610612742,Dallas Mavericks,6,42,6.0
1610612743,Denver Nuggets,11,33,6.0
1610612744,Golden State Warriors,1,73,6.0
1610612745,Houston Rockets,8,41,6.0
1610612746,Los Angeles Clippers,4,53,6.0
1610612747,Los Angeles Lakers,15,17,6.0
1610612748,Miami Heat,3,48,6.0
1610612749,Milwaukee Bucks,12,33,6.0
1610612750,Minnesota Timberwolves,13,29,6.0
1610612751,Brooklyn Nets,14,21,6.0
1610612752,New York Knicks,13,32,6.0
1610612753,Orlando Magic,11,35,6.0
1610612754,Indiana Pacers,7,45,6.0
1610612755,Philadelphia 76ers,15,10,4.0
1610612756,Phoenix Suns,14,23,6.0
1610612757,Portland Trail Blazers,5,44,6.0
1610612758,Sacramento Kings,10,33,6.0
1610612759,San Antonio Spurs,2,67,6.0
1610612760,Oklahoma City Thunder,3,55,6.0
1610612761,Toronto Raptors,2,56,6.0
1610612762,Utah Jazz,9,40,6.0
1610612763,Memphis Grizzlies,7,42,6.0
1610612764,Washington Wizards,10,41,6.0
1610612765,Detroit Pistons,8,44,6.0
1610612766,Charlotte Hornets,6,48,6.0
