PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1631260,AJ Green,AJ,1610612749,MIL,26.0,40,17,23,0.425,29.5,3.4,7.7,0.445,3.1,7.0,0.437,0.6,0.8,0.8,0.2,2.4,2.6,2.0,0.9,0.6,0.1,0.2,2.5,1.1,10.5,0.9,17.7,0,0,19.5,91,196,69,330,99,200,192,280,16,32,40,344,351,192,463,234,302,197,259,274,418,346,81,273,176,176,239,198,24,203,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,21,15,6,0.714,28.2,6.2,12.0,0.516,1.9,4.6,0.412,3.7,4.7,0.778,1.4,4.8,6.2,2.4,1.1,0.6,0.2,0.4,1.7,3.5,18.0,7.4,30.3,3,0,30.1,360,225,414,44,123,70,95,104,93,118,72,47,45,232,110,64,66,166,206,268,318,234,265,63,62,16,97,92,24,87,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,30,20,10,0.667,14.0,1.9,4.8,0.4,1.3,3.3,0.38,0.8,1.0,0.862,0.1,0.7,0.8,1.0,0.7,0.4,0.1,0.2,1.4,1.0,6.0,0.1,9.5,0,0,10.2,269,132,327,69,345,323,299,383,175,188,139,289,319,101,473,457,464,333,312,357,368,382,327,278,303,228,376,198,24,349,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,24,5,19,0.208,30.2,4.3,12.1,0.352,2.4,7.0,0.341,2.3,2.8,0.806,1.5,3.7,5.2,2.1,1.4,0.7,0.6,0.9,2.8,2.8,13.1,-4.5,24.9,0,0,25.3,328,403,120,467,87,162,93,451,49,33,246,110,115,185,103,126,113,192,151,217,113,46,48,97,131,468,140,198,24,128,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,31,24,7,0.774,23.2,3.9,8.7,0.454,1.8,4.7,0.39,0.7,0.9,0.724,0.6,2.8,3.4,1.7,1.1,0.8,0.6,0.3,1.5,0.8,10.4,5.7,20.4,0,0,20.3,252,64,394,27,201,177,166,254,99,111,118,325,322,326,303,205,229,232,214,161,94,282,299,344,179,31,198,198,24,189,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,37,13,24,0.351,24.3,4.2,9.5,0.442,1.4,4.2,0.344,0.7,0.9,0.714,1.5,1.9,3.4,1.6,1.3,0.7,0.4,0.3,2.5,1.0,10.5,-5.3,19.1,0,0,19.2,153,255,54,381,182,167,142,294,149,149,241,326,320,337,104,293,224,239,177,223,178,279,90,292,177,485,221,198,24,206,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,33,19,14,0.576,17.1,1.5,2.5,0.593,0.1,0.2,0.4,1.2,1.8,0.678,1.8,2.2,4.0,0.2,0.8,0.3,1.4,0.3,2.0,1.6,4.2,0.4,13.9,1,0,12.0,222,154,244,184,290,373,426,51,433,460,89,211,192,368,72,265,187,482,300,389,19,296,184,194,371,208,302,138,24,323,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,43,37,6,0.86,26.2,5.2,10.6,0.487,1.1,3.2,0.35,2.7,3.0,0.87,0.7,2.8,3.5,3.7,1.6,1.4,0.3,0.5,2.2,2.9,14.1,9.3,27.4,1,0,25.8,33,1,414,10,152,113,118,164,205,206,227,88,100,89,270,203,223,85,124,29,224,170,143,88,109,8,122,138,24,124,1
201143,Al Horford,Al,1610612744,GSW,39.0,25,15,10,0.6,19.3,2.5,6.3,0.395,1.6,4.4,0.351,0.4,0.4,1.0,0.9,3.9,4.8,2.0,0.9,0.8,1.0,0.1,1.1,0.4,7.0,0.2,20.2,0,0,19.0,319,225,327,152,253,270,239,397,135,132,224,382,414,1,188,107,133,197,251,193,38,421,381,422,266,221,204,198,24,210,1
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,32,26,6,0.813,18.2,2.2,5.3,0.417,1.0,3.2,0.301,0.7,0.9,0.821,0.6,2.3,2.8,2.1,0.8,1.4,0.4,0.3,1.3,0.9,6.1,7.8,17.2,0,0,15.6,239,31,414,19,272,303,273,352,234,201,341,314,332,162,311,247,271,188,292,33,193,291,350,311,298,14,251,198,24,258,1
