Team,Network_Type,N_Players,N_Connections,Density,Gini_Coefficient,N_Hubs,Top2_Concentration,Avg_Clustering,Total_Weight,Avg_Weight_Per_Player,Degree_Centralization,Max_Betweenness,Avg_Betweenness,Max_Kcore,Avg_Kcore,Diameter,Eigenvector_Std,Eigenvector_Max,Max_Edge_Weight,Avg_Edge_Weight,PlayoffRank,PlayoffWins,PlayoffScore,WinPCT
MIA,assist,15,179,0.8523809523809524,0.3285689802913454,6,0.27095115681233933,0.14816793312994678,1945.0,129.66666666666666,0.5805148914689551,0.5560439560439561,0.09125763125763126,10,9.933333333333334,2,0.1272482514754299,0.45690532677430135,63.0,10.865921787709498,8,46,6.0,0.561
PHX,assist,17,185,0.6801470588235294,0.5205840316116919,5,0.3623153882801334,0.05432682599457467,2099.0,123.47058823529412,0.7299588086185045,0.2374404761904762,0.057622549019607845,11,10.235294117647058,2,0.17072242782166588,0.5469173534438634,114.0,11.345945945945946,6,49,6.0,0.598
TOR,assist,21,266,0.6333333333333333,0.38621701512503503,7,0.2371998187584957,0.0741794488426059,2207.0,105.0952380952381,0.6846026490066225,0.2651023391812865,0.05223962684489,11,10.523809523809524,2,0.13989951162658348,0.43424556046126805,63.0,8.296992481203008,12,25,6.0,0.305
MIL,assist,14,152,0.8351648351648352,0.4374451717389838,2,0.3731695795937648,0.06471188426228268,2117.0,151.21428571428572,0.7146401985111662,0.6452991452991452,0.08043345543345544,10,9.857142857142858,2,0.1860558214694596,0.5577497439450148,140.0,13.927631578947368,3,49,6.0,0.598
CHI,assist,12,123,0.9318181818181818,0.38610072966720055,5,0.35157501334757074,0.1034644999176566,1873.0,156.08333333333334,0.5893693934931048,0.667878787878788,0.10085858585858587,10,9.833333333333334,2,0.1721119350333301,0.5295336118812722,114.0,15.227642276422765,9,39,6.0,0.476
NYK,assist,18,171,0.5588235294117647,0.5235119557153456,4,0.34386235233692863,0.05308287150341349,1947.0,108.16666666666667,0.7601809954751131,0.21127450980392157,0.07290985838779956,8,7.388888888888889,3,0.16687073291169138,0.5671069819091717,121.0,11.385964912280702,2,50,6.0,0.61
BOS,assist,16,167,0.6958333333333333,0.4639031206334421,7,0.2845831392640894,0.087563331846042,2147.0,134.1875,0.6056897477187332,0.15374149659863948,0.05807634164777023,10,9.6875,2,0.17139766255421987,0.467341029427025,82.0,12.8562874251497,1,64,6.0,0.78
MEM,assist,19,247,0.7222222222222222,0.3263747787900637,5,0.2275840597758406,0.07464418949155294,1606.0,84.52631578947368,0.6171171171171171,0.17854030501089324,0.06065244811374841,11,10.68421052631579,2,0.12906343773311987,0.5178919808280613,56.0,6.502024291497976,13,27,6.0,0.329
HOU,assist,12,124,0.9393939393939394,0.3545878693623641,4,0.3631415241057543,0.0836562999148326,1929.0,160.75,0.6232727272727273,0.6636363636363636,0.09343434343434343,10,10.0,2,0.17579529289134696,0.5762559696842714,168.0,15.556451612903226,11,41,6.0,0.5
UTA,assist,14,161,0.8846153846153846,0.3082631654060226,7,0.26523476523476525,0.14099947725515546,2002.0,143.0,0.5618729096989966,0.5905982905982905,0.06981074481074481,11,10.928571428571429,2,0.13373073882435496,0.45030933078630014,83.0,12.434782608695652,12,31,6.0,0.378
OKC,assist,18,186,0.6078431372549019,0.5166614599604291,5,0.2994376757263355,0.05667490837789608,2134.0,118.55555555555556,0.6749415362475265,0.3234943977591036,0.06117335823218176,11,9.555555555555555,3,0.16783248763785955,0.5055205794411889,103.0,11.473118279569892,1,57,6.0,0.695
POR,assist,17,188,0.6911764705882353,0.3685090983578574,6,0.240858966918166,0.09895261725195345,1723.0,101.3529411764706,0.5696510297482837,0.4452777777777777,0.0572875816993464,10,9.411764705882353,2,0.14210031621383462,0.465141089692089,63.0,9.164893617021276,15,21,6.0,0.256
CHA,assist,20,237,0.6236842105263158,0.38396739130434776,3,0.2817934782608696,0.08429244706416592,1840.0,92.0,0.7146137595297143,0.2305694792536897,0.0497058618769145,10,9.75,2,0.12913646518362512,0.48655069622477876,58.0,7.763713080168777,13,21,6.0,0.256
NOP,assist,12,126,0.9545454545454546,0.28438767234387674,6,0.2958637469586375,0.20711171957461602,2055.0,171.25,0.5034305317324185,0.8545454545454545,0.07348484848484847,10,10.0,2,0.12117843573215485,0.46155568249399936,72.0,16.30952380952381,7,49,6.0,0.598
