,,Correlation,Correlation,Hypothesis_Supported,Hypothesis_Supported,P_Value,P_Value
Network_Type,,assist,pass,assist,pass,assist,pass
Hypothesis,Success_Metric,,,,,,
H10_Kcore,PlayoffRank,0.08846677333673678,-0.0474779538344898,False,False,0.6420199702561772,0.8032540612870989
H10_Kcore,PlayoffScore,0.05329702476553312,0.28781979898261073,False,False,0.7796965986863189,0.1229976585121157
H10_Kcore,PlayoffWins,-0.11720888165143191,0.10435946650554531,False,False,0.5373450102523931,0.5831328034189693
H10_Kcore,WinPCT,-0.1171950219122492,0.10423224798723946,False,False,0.537393461724778,0.5835945917280788
H11_Diameter,PlayoffRank,-0.34384095303675166,0.021490059564796965,True,False,0.06282146769824366,0.9102547768732071
H11_Diameter,PlayoffScore,0.04962916669854649,-0.049629166698546494,False,False,0.7945243850399186,0.7945243850399186
H11_Diameter,PlayoffWins,0.18307801262114987,-0.09858046833446532,False,False,0.3328604276674001,0.6042701888865091
H11_Diameter,WinPCT,0.1830377379721882,-0.09873644540455584,False,False,0.3329686305156494,0.6036954372618787
H12_Eigenvector,PlayoffRank,-0.3554708401593861,-0.42223755833470733,False,False,0.053885347591671046,0.020108768433570373
H12_Eigenvector,PlayoffScore,-0.11518292830748103,-0.12046480598090376,False,False,0.5444493552430509,0.5260206568321106
H12_Eigenvector,PlayoffWins,0.29520514827082617,0.35384468014544646,False,True,0.11325565353130283,0.055070747520036156
H12_Eigenvector,WinPCT,0.29539930114110063,0.3541034490278111,False,True,0.1130075412477513,0.05488075421535764
H1_Density,PlayoffRank,-0.009403589456214601,-0.08480113456744917,False,False,0.960665871079359,0.6559275790642112
H1_Density,PlayoffScore,0.402885934631136,0.4612393707988043,True,True,0.027283362185595565,0.010304762027484132
H1_Density,PlayoffWins,0.23770946197602005,0.30904959887861083,False,True,0.20591116046275157,0.09655847219656323
H1_Density,WinPCT,0.2376993983427836,0.30891389720594864,False,True,0.20593093113825575,0.09671254568320373
H2_Gini,PlayoffRank,-0.2902548683411762,-0.30942523899088725,False,True,0.11971959763861822,0.0961329442255809
H2_Gini,PlayoffScore,-0.3922051611224846,-0.3663413238813059,True,True,0.03206130333861356,0.046469448111005174
H2_Gini,PlayoffWins,0.11651513462554988,0.1435617256453176,False,False,0.5397727848974074,0.44914488482425075
H2_Gini,WinPCT,0.11681759239997952,0.1437522741277243,False,False,0.5387136930408404,0.4485368704652972
H3_Hubs,PlayoffRank,0.1193112534598322,0.173968166256234,False,False,0.5300195713971292,0.3578799948962554
H3_Hubs,PlayoffScore,0.12717117101978917,0.0634361479695551,False,False,0.5030649824001971,0.7391147452065074
H3_Hubs,PlayoffWins,-0.07668377047335947,-0.10200473312942838,False,False,0.6871239021789506,0.5917061666142596
H3_Hubs,WinPCT,-0.07706050243228825,-0.10234185251199907,False,False,0.6856643733610017,0.5904753957813684
H4_Top2,PlayoffRank,-0.3894622502054876,-0.4242468299826283,True,True,0.033391793949313756,0.019462771402173333
H4_Top2,PlayoffScore,0.004716761420960641,0.04883088359288243,False,False,0.9802646736330927,0.7977610601994569
H4_Top2,PlayoffWins,0.4148709849420352,0.43365400026251255,False,False,0.022630224629842596,0.01666179763460978
H4_Top2,WinPCT,0.4154790779383949,0.4340665434647918,False,False,0.02241271327147551,0.016547059393751035
H5_Clustering,PlayoffRank,0.019357407243953954,0.1857340154668598,False,False,0.9191305191227441,0.32577215661769243
H5_Clustering,PlayoffScore,0.3775884198300779,0.31671590102651026,True,True,0.039675381789489164,0.08815196294102777
H5_Clustering,PlayoffWins,0.12851438795520048,-0.01154549905984082,False,False,0.498528164114632,0.951715896869652
H5_Clustering,WinPCT,0.1283475354453767,-0.011736863103376658,False,False,0.49909060029026875,0.9509165460314091
H6_Volume,PlayoffRank,-0.35841740629415897,-0.30351710537701415,False,False,0.05178877948334201,0.1029918697353639
H6_Volume,PlayoffScore,0.10252582229782982,0.22064144431494465,False,False,0.5898042206668503,0.2413333580059916
H6_Volume,PlayoffWins,0.37681040958636997,0.33274667824028326,True,True,0.04011809707335886,0.07238669330381638
H6_Volume,WinPCT,0.3767064085041915,0.33280021485937483,True,True,0.04017757616066571,0.07233797650935661
H7_Centralization,PlayoffRank,-0.13878197662721092,-0.137947644986379,False,False,0.4645401410284945,0.467255607044995
H7_Centralization,PlayoffScore,-0.2621468804125526,-0.30741720332162015,False,True,0.16168087926623967,0.09842421796356457
H7_Centralization,PlayoffWins,0.008722923368016944,-0.006273749750516644,False,False,0.9635110683613286,0.9737520498012606
H7_Centralization,WinPCT,0.009077150256318292,-0.006065051859687608,False,False,0.9620303362023517,0.9746249114609444
H8_Betweenness,PlayoffRank,0.05601700584202922,-0.24831552957072014,False,False,0.7687491382866352,0.18579431889090484
H8_Betweenness,PlayoffScore,0.321151843244612,0.40434449686065865,False,False,0.0835493357679925,0.026678520506306418
H8_Betweenness,PlayoffWins,0.07232149537491521,0.3301766947931491,False,False,0.7041032988589918,0.07475530640305439
H8_Betweenness,WinPCT,0.07261418871185348,0.3302191146949162,False,False,0.7029595586757678,0.07471573077401654
