Team,Network_Type,N_Players,N_Connections,Density,Gini_Coefficient,N_Hubs,Top2_Concentration,Avg_Clustering,Total_Weight,Avg_Weight_Per_Player,Degree_Centralization,Max_Betweenness,Avg_Betweenness,Max_Kcore,Avg_Kcore,Diameter,Eigenvector_Std,Eigenvector_Max,Max_Edge_Weight,Avg_Edge_Weight,PlayoffRank,PlayoffWins,PlayoffScore,WinPCT
MIA,pass,15,195,0.9285714285714286,0.30182407277598644,8,0.25704472171596804,0.2186450390144004,21399.0,1426.6,0.5525013943788345,0.7527472527472528,0.12344322344322345,11,11.0,2,0.11656954040576342,0.4450247154457696,490.0,109.73846153846154,8,46,6.0,0.561
PHX,pass,17,239,0.8786764705882353,0.5040352321193786,5,0.3294793748864256,0.06670914236715408,22012.0,1294.8235294117646,0.6870736116796289,0.5229166666666667,0.09044117647058825,12,11.764705882352942,2,0.16926093271482945,0.5033428206099193,817.0,92.10041841004184,6,49,6.0,0.598
TOR,pass,21,326,0.7761904761904762,0.37826613528452824,4,0.2696691014696823,0.06834737718500397,22726.0,1082.1904761904761,0.6830965450435905,0.3805263157894737,0.08079365079365079,12,11.666666666666666,2,0.13668947767526088,0.49597445864507583,700.0,69.71165644171779,12,25,6.0,0.305
MIL,pass,14,177,0.9725274725274725,0.41937047153633955,2,0.3838781610286094,0.06832984607452212,21077.0,1505.5,0.6986872919451946,0.7521367521367521,0.08791208791208792,12,11.928571428571429,2,0.16456782774283066,0.5566744742172008,1212.0,119.07909604519774,3,49,6.0,0.598
CHI,pass,12,128,0.9696969696969697,0.37838993310935565,5,0.3542177426677563,0.11889711320143849,22026.0,1835.5,0.6106683818639689,0.8454545454545455,0.09621212121212121,10,9.916666666666666,2,0.1617522979111738,0.5185709875630702,1077.0,172.078125,9,39,6.0,0.476
NYK,pass,18,229,0.7483660130718954,0.5210204937621319,3,0.3603941708366254,0.04927458661115295,22782.0,1265.6666666666667,0.7959522765559736,0.591299019607843,0.08803104575163398,0,0.0,2,0.16582001197038945,0.5733399027534255,1085.0,99.48471615720524,2,50,6.0,0.61
BOS,pass,16,220,0.9166666666666666,0.49696647121783233,5,0.324607938945507,0.06036417688681542,21489.0,1343.0625,0.670318624060497,0.5552380952380953,0.09696428571428573,12,11.875,2,0.16725977001870643,0.5004903337913377,923.0,97.67727272727272,1,64,6.0,0.78
MEM,pass,19,305,0.8918128654970761,0.30893724970427705,8,0.2181965881397238,0.11883495238003358,18465.0,971.8421052631579,0.5766417678182384,0.775599128540305,0.07866070404770094,13,12.894736842105264,2,0.11746255197291051,0.4462278775877084,385.0,60.540983606557376,13,27,6.0,0.329
HOU,pass,12,130,0.9848484848484849,0.3796387642019765,3,0.38610467123760667,0.09796291296472921,20273.0,1689.4166666666667,0.6867867359041573,0.6909090909090909,0.09696969696969697,10,10.0,2,0.16815158974123484,0.5749841005512296,1212.0,155.94615384615383,11,41,6.0,0.5
UTA,pass,14,177,0.9725274725274725,0.3225570418616155,5,0.30390035107969027,0.18067496268635425,20793.0,1485.2142857142858,0.6167125925434083,0.6474358974358975,0.11401098901098902,0,0.0,2,0.11960037066014431,0.4626465000422304,708.0,117.47457627118644,12,31,6.0,0.378
OKC,pass,18,262,0.8562091503267973,0.5288325640825053,4,0.321004459047172,0.050719702473190825,21305.0,1183.611111111111,0.725649185634642,0.5367647058823529,0.07822712418300654,12,11.722222222222221,2,0.16816907391123248,0.527536113229819,943.0,81.31679389312977,1,57,6.0,0.695
POR,pass,17,225,0.8272058823529411,0.3643008889955346,5,0.27537060988956324,0.14032604737282148,20102.0,1182.4705882352941,0.6581308336015449,0.5847222222222223,0.10114379084967319,12,11.352941176470589,3,0.13384330810498157,0.46499145069249304,449.0,89.34222222222222,15,21,6.0,0.256
CHA,pass,20,286,0.7526315789473684,0.3803920610089948,3,0.26850312866640597,0.09662254753079755,20456.0,1022.8,0.6749323756681653,0.5964912280701754,0.0891812865497076,11,10.85,2,0.13037292294213998,0.4938585389400429,493.0,71.52447552447552,13,21,6.0,0.256
NOP,pass,12,130,0.9848484848484849,0.2659564182656553,6,0.277599286033021,0.19192200300333254,22410.0,1867.5,0.47289825296802396,0.9545454545454545,0.09469696969696968,11,11.0,1,0.13436688900130828,0.4648667323365227,757.0,172.3846153846154,7,49,6.0,0.598
ORL,pass,14,154,0.8461538461538461,0.3739033712463775,4,0.3221200499052724,0.11224261514564578,21641.0,1545.7857142857142,0.6732634484816832,0.7948717948717948,0.12271062271062269,11,10.285714285714286,2,0.14239499772013822,0.5376244578854363,864.0,140.52597402597402,5,47,6.0,0.573
IND,pass,17,231,0.8492647058823529,0.4250738678501218,3,0.31410846507904744,0.09453095884330892,24985.0,1469.7058823529412,0.7435208354611378,0.6125,0.11813725490196081,12,11.588235294117647,2,0.14121434572653246,0.5552837312511111,840.0,108.16017316017316,6,47,6.0,0.573
LAC,pass,16,189,0.7875,0.49803873656052255,4,0.3567313133391635,0.05715717981486653,19439.0,1214.9375,0.7558540192668985,0.5523809523809524,0.10773809523809524,11,10.125,2,0.17318404907085236,0.5709302217970004,1046.0,102.85185185185185,4,51,6.0,0.622
MIN,pass,12,128,0.9696969696969697,0.33300410986657414,6,0.34390466267257097,0.1438112442270109,23034.0,1919.5,0.5881479864673141,0.7363636363636363,0.08333333333333333,10,9.916666666666666,2,0.14643295896334302,0.5011779699018053,1018.0,179.953125,3,56,6.0,0.683
WAS,pass,17,214,0.7867647058823529,0.4805712039827066,4,0.3275179411036872,0.05467228203076818,20205.0,1188.5294117647059,0.722256836858413,0.48888888888888893,0.11209150326797385,0,0.0,2,0.1680946578223852,0.5528082180760091,1052.0,94.41588785046729,14,15,5.0,0.183
DET,pass,24,367,0.6648550724637681,0.5281852524162292,4,0.2971593975371633,0.0497868645325302,20383.0,849.2916666666666,0.8008451626342886,0.36166007905138337,0.07799736495388669,11,10.833333333333334,2,0.14718592707199504,0.5460831989555552,1112.0,55.53950953678474,15,14,5.0,0.171
BKN,pass,16,206,0.8583333333333333,0.3564037283686565,7,0.25017013416293993,0.14659551872700904,20572.0,1285.75,0.6053593452180738,0.5476190476190477,0.10416666666666669,11,10.75,2,0.13485552140003013,0.4648884358116806,534.0,99.86407766990291,11,32,6.0,0.39
GSW,pass,14,180,0.989010989010989,0.30364777668253096,6,0.27047792405706306,0.17933408790453023,23623.0,1687.357142857143,0.5810426440798934,0.6282051282051282,0.08974358974358974,12,12.0,2,0.11816426737143558,0.43125223008150154,1090.0,131.23888888888888,10,46,6.0,0.561
LAL,pass,13,153,0.9807692307692307,0.4648371261173345,4,0.36192175968356566,0.08716991669374978,20731.0,1594.6923076923076,0.637332730949615,0.8257575757575758,0.08508158508158509,0,0.0,2,0.1821626854665567,0.4872797657472367,1122.0,135.4967320261438,8,47,6.0,0.573
PHI,pass,18,249,0.8137254901960784,0.4188719861490009,2,0.3235538909696213,0.07779346489425006,21627.0,1201.5,0.7809040382947281,0.5992647058823529,0.11151960784313725,12,11.5,2,0.14179197484041803,0.5841808605884352,848.0,86.855421686747,7,47,6.0,0.573
SAC,pass,11,110,1.0,0.37862289442082386,2,0.42674491253123886,0.09361356385974329,22408.0,2037.090909090909,0.6809630668536699,0.4777777777777778,0.08080808080808081,10,10.0,1,0.16529092624807662,0.5896899904829702,1681.0,203.70909090909092,9,46,6.0,0.561
SAS,pass,13,155,0.9935897435897436,0.3307022557603767,5,0.2940010028718603,0.13350938062237633,21937.0,1687.4615384615386,0.5936244307527457,0.6212121212121212,0.10023310023310023,12,12.0,1,0.14430745726044816,0.5066056493715869,808.0,141.52903225806452,14,22,6.0,0.268
CLE,pass,13,152,0.9743589743589743,0.31094345294498216,7,0.2759323761787444,0.1785887289393569,23542.0,1810.923076923077,0.4998884758364312,0.9090909090909092,0.09324009324009326,11,11.0,2,0.1348059029121042,0.43227775675556457,723.0,154.8815789473684,4,48,6.0,0.585
DAL,pass,16,187,0.7791666666666667,0.42004002986150435,2,0.36289450651289706,0.09027218309027815,19423.0,1213.9375,0.7608408124704771,0.7095238095238096,0.11785714285714288,10,9.375,2,0.14471923112869145,0.5732398231189729,728.0,103.8663101604278,5,50,6.0,0.61
ATL,pass,14,174,0.9560439560439561,0.448354881794206,3,0.3862417540695743,0.08806412143664419,21071.0,1505.0714285714287,0.7314741950291822,0.5512820512820512,0.0934065934065934,11,11.0,2,0.16134750098298214,0.570655190422902,1057.0,121.09770114942529,10,36,6.0,0.439
