Player_A_ID,Player_A_Name,Player_B_ID,Player_B_Name,A_to_B,B_to_A,Total_Passes,TEAM_ID,TEAM_ABBREVIATION,SEASON
203200,Justin Holiday,1626245,Cristiano Felicio,45,62,107,1610612741,CHI,2015-16
203200,Justin Holiday,2399,Mike Dunleavy,9,10,19,1610612741,CHI,2015-16
203200,Justin Holiday,201959,Taj Gibson,15,15,30,1610612741,CHI,2015-16
203200,Justin Holiday,201166,Aaron Brooks,50,62,112,1610612741,CHI,2015-16
203200,Justin Holiday,202734,E'Twaun Moore,27,30,57,1610612741,CHI,2015-16
203200,Justin Holiday,202703,Nikola Mirotic,55,63,118,1610612741,CHI,2015-16
203200,Justin Holiday,203503,Tony Snell,8,15,23,1610612741,CHI,2015-16
203200,Justin Holiday,203926,Doug McDermott,47,41,88,1610612741,CHI,2015-16
203200,Justin Holiday,202710,Jimmy Butler III,31,45,76,1610612741,CHI,2015-16
203200,Justin Holiday,2200,Pau Gasol,30,40,70,1610612741,CHI,2015-16
203200,Justin Holiday,1626171,Bobby Portis,27,53,80,1610612741,CHI,2015-16
203200,Justin Holiday,201565,Derrick Rose,34,32,66,1610612741,CHI,2015-16
1626245,Cristiano Felicio,2399,Mike Dunleavy,13,18,31,1610612741,CHI,2015-16
1626245,Cristiano Felicio,201959,Taj Gibson,3,3,6,1610612741,CHI,2015-16
1626245,Cristiano Felicio,201166,Aaron Brooks,123,81,204,1610612741,CHI,2015-16
1626245,Cristiano Felicio,202734,E'Twaun Moore,24,23,47,1610612741,CHI,2015-16
1626245,Cristiano Felicio,202703,Nikola Mirotic,39,21,60,1610612741,CHI,2015-16
1626245,Cristiano Felicio,203503,Tony Snell,26,13,39,1610612741,CHI,2015-16
1626245,Cristiano Felicio,203926,Doug McDermott,50,34,84,1610612741,CHI,2015-16
1626245,Cristiano Felicio,202710,Jimmy Butler III,76,52,128,1610612741,CHI,2015-16
1626245,Cristiano Felicio,1626171,Bobby Portis,11,28,39,1610612741,CHI,2015-16
1626245,Cristiano Felicio,201565,Derrick Rose,63,27,90,1610612741,CHI,2015-16
2399,Mike Dunleavy,201959,Taj Gibson,94,72,166,1610612741,CHI,2015-16
2399,Mike Dunleavy,201166,Aaron Brooks,15,18,33,1610612741,CHI,2015-16
2399,Mike Dunleavy,202734,E'Twaun Moore,80,89,169,1610612741,CHI,2015-16
2399,Mike Dunleavy,202703,Nikola Mirotic,40,30,70,1610612741,CHI,2015-16
