PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,SEASON,GP,MIN,PTS,AST,REB,In_Degree,Out_Degree,Total_Degree,Weighted_In_Degree,Weighted_Out_Degree,Weighted_Degree,Betweenness_Centrality,Eigenvector_Centrality
201166,Aaron Brooks,1610612741,CHI,2015-16,69,1107.71,491,180,101,13,13,26,2044,1712,3756,0.014957264957264954,0.18784880379569294
1626171,Bobby Portis,1610612741,CHI,2015-16,62,1102.08,436,52,337,13,13,26,984,1342,2326,0.16025641025641024,0.12850203232135074
1626245,Cristiano Felicio,1610612741,CHI,2015-16,31,320.7033333333333,105,26,102,11,11,22,345,490,835,0.26282051282051283,0.03283017107548643
201565,Derrick Rose,1610612741,CHI,2015-16,66,2097.423333333333,1080,311,225,13,13,26,4284,3549,7833,0.0,0.5107830512773679
203926,Doug McDermott,1610612741,CHI,2015-16,81,1860.56,764,59,195,13,13,26,1345,1141,2486,0.0,0.14084126459483984
202734,E'Twaun Moore,1610612741,CHI,2015-16,59,1263.1,443,99,133,13,13,26,1623,1418,3041,0.0,0.20713562759359955
202710,Jimmy Butler III,1610612741,CHI,2015-16,67,2473.625,1399,321,358,13,13,26,3509,2953,6462,0.0,0.4832953237476819
201149,Joakim Noah,1610612741,CHI,2015-16,29,635.4233333333333,124,110,255,10,10,20,699,1136,1835,0.03205128205128205,0.14574569348091862
203200,Justin Holiday,1610612741,CHI,2015-16,53,772.5866666666667,239,56,90,12,12,24,468,378,846,0.30128205128205127,0.0462212437574177
2399,Mike Dunleavy,1610612741,CHI,2015-16,31,702.6366666666667,222,39,83,12,12,24,658,671,1329,0.36217948717948717,0.10156306931204823
202703,Nikola Mirotic,1610612741,CHI,2015-16,66,1646.11,777,100,362,13,13,26,1746,2079,3825,0.0,0.25315682462477557
2200,Pau Gasol,1610612741,CHI,2015-16,72,2291.358333333333,1187,294,793,12,12,24,3250,3861,7111,0.0,0.4893337702179551
201959,Taj Gibson,1610612741,CHI,2015-16,73,1935.5583333333332,627,106,504,13,13,26,1455,1800,3255,0.05341880341880342,0.19591330766086526
203503,Tony Snell,1610612741,CHI,2015-16,64,1301.013333333333,338,63,199,13,13,26,933,813,1746,0.0,0.11956546646027008
203932,Aaron Gordon,1610612753,ORL,2015-16,78,1863.12,719,128,507,12,12,24,1316,2076,3392,0.0,0.25595631654538026
203094,Andrew Nicholson,1610612753,ORL,2015-16,56,822.7716666666666,384,25,201,12,12,24,635,744,1379,0.125,0.09414862948185819
201943,Brandon Jennings,1610612753,ORL,2015-16,48,867.505,332,170,96,12,12,24,1037,929,1966,0.16666666666666669,0.11778299281046146
201228,C.J. Watson,1610612753,ORL,2015-16,33,655.7033333333334,142,88,66,12,12,24,916,909,1825,0.0,0.11051464829236093
203473,Dewayne Dedmon,1610612753,ORL,2015-16,58,704.875,255,13,228,11,12,23,403,609,1012,0.25,0.06794067733355576
203901,Elfrid Payton,1610612753,ORL,2015-16,73,2144.92,778,467,261,12,12,24,3613,3464,7077,0.0,0.5312421508819926
101141,Ersan Ilyasova,1610612753,ORL,2015-16,74,1880.3866666666668,767,67,403,12,12,24,380,499,879,0.7083333333333334,0.048397834534431514
203095,Evan Fournier,1610612753,ORL,2015-16,79,2566.088333333333,1213,214,225,12,12,24,2618,2110,4728,0.0,0.3634572351693761
201160,Jason Smith,1610612753,ORL,2015-16,76,1180.861666666667,546,62,219,12,12,24,1192,1457,2649,0.022727272727272728,0.16985661812742947
1626209,Mario Hezonja,1610612753,ORL,2015-16,79,1412.8533333333332,478,109,176,12,12,24,1276,1231,2507,0.0,0.17867829724436
202696,Nikola Vučević,1610612753,ORL,2015-16,65,2036.8216666666667,1181,179,576,12,11,23,2263,2197,4460,0.0,0.4516368061961751
203894,Shabazz Napier,1610612753,ORL,2015-16,55,599.865,203,97,55,12,12,24,1031,902,1933,0.3143939393939394,0.12446973312035889
203506,Victor Oladipo,1610612753,ORL,2015-16,72,2379.33,1153,282,345,12,12,24,2980,2533,5513,0.0,0.44498616181608597
201143,Al Horford,1610612737,ATL,2015-16,82,2631.181666666667,1249,263,596,12,12,24,3389,3827,7216,0.1893939393939394,0.43896659134266713
203471,Dennis Schröder,1610612737,ATL,2015-16,80,1620.9583333333333,879,349,204,12,12,24,3590,2991,6581,0.0,0.3090859534989504
201952,Jeff Teague,1610612737,ATL,2015-16,79,2254.701666666667,1239,470,214,12,11,23,4828,3985,8813,0.0,0.5228651520702254
203145,Kent Bazemore,1610612737,ATL,2015-16,75,2082.7966666666666,872,171,379,13,13,26,2299,2500,4799,0.12878787878787878,0.3452756187256338
2550,Kirk Hinrich,1610612737,ATL,2015-16,46,630.9983333333333,137,73,70,9,10,19,103,111,214,0.6439393939393939,0.00677595627063626
2743,Kris Humphries,1610612737,ATL,2015-16,53,834.7133333333334,343,36,218,10,10,20,334,449,783,0.08333333333333334,0.040776809169273794
2594,Kyle Korver,1610612737,ATL,2015-16,80,2400.665,739,164,260,12,12,24,1925,1783,3708,0.0,0.24005212265156084
