TEAM_ABBREVIATION,SEASON,Num_Ball_Huggers,Num_Elite_Passers,Num_Ball_Huggers_Abs,Num_Elite_Passers_Abs,Num_Extreme_Huggers,Num_Extreme_Passers,Roster_Size,Hugger_Category,Passer_Category,Extreme_Hugger_Cat,Extreme_Passer_Cat,W_PCT,WINS,LOSSES,Net_Passers_Huggers,Net_Category
ATL,2015-16,3,2,0,1,0,0,13,0,1,0,0,0.547,48,34,1,More Passers
ATL,2016-17,2,2,0,3,0,1,13,0,2+,0,1,0.532,42,47,3,More Passers
ATL,2017-18,2,2,0,5,0,1,12,0,2+,0,1,0.264,24,58,5,More Passers
ATL,2018-19,2,3,2,5,0,0,12,2+,2+,0,0,0.358,29,53,3,More Passers
ATL,2019-20,2,1,1,4,0,1,15,1,2+,0,1,0.382,22,44,3,More Passers
ATL,2020-21,2,3,2,3,0,1,13,2+,2+,0,1,0.54,44,30,1,More Passers
ATL,2021-22,2,1,1,3,0,1,11,1,2+,0,1,0.541,42,36,2,More Passers
ATL,2022-23,2,3,2,5,0,4,14,2+,2+,0,2+,0.5,41,53,3,More Passers
ATL,2023-24,2,2,1,2,0,1,13,1,2+,0,1,0.444,35,44,1,More Passers
BKN,2015-16,1,2,1,4,1,3,14,1,2+,1,2+,0.288,21,58,3,More Passers
BKN,2016-17,2,3,1,3,0,0,15,1,2+,0,0,0.13,28,59,2,More Passers
BKN,2017-18,3,2,0,1,0,0,13,0,1,0,0,0.333,34,52,1,More Passers
BKN,2018-19,4,2,2,4,0,2,13,2+,2+,0,2+,0.475,42,39,2,More Passers
BKN,2019-20,2,3,2,4,0,0,13,2+,2+,0,0,0.469,33,37,2,More Passers
BKN,2020-21,2,2,0,2,0,0,14,0,2+,0,0,0.522,45,24,2,More Passers
BKN,2021-22,3,3,0,3,0,0,15,0,2+,0,0,0.375,44,37,3,More Passers
BKN,2022-23,2,4,2,3,0,0,14,2+,2+,0,0,0.45,42,41,1,More Passers
BKN,2023-24,2,1,2,1,0,0,14,2+,1,0,0,0.397,32,50,-1,More Huggers
BOS,2015-16,2,2,1,2,0,0,10,1,2+,0,0,0.58,48,34,1,More Passers
BOS,2016-17,2,1,1,1,0,1,12,1,1,0,1,0.618,51,29,0,Equal
BOS,2017-18,1,1,0,1,0,1,13,0,1,0,1,0.412,54,30,1,More Passers
BOS,2018-19,2,2,0,1,0,0,11,0,1,0,0,0.552,48,33,1,More Passers
BOS,2019-20,2,1,0,1,0,1,12,0,1,0,1,0.667,48,23,1,More Passers
BOS,2020-21,1,1,2,4,1,1,13,2+,2+,1,1,0.5,34,35,2,More Passers
BOS,2021-22,2,2,1,3,0,1,12,1,2+,0,1,0.426,49,35,2,More Passers
