Metric,Correlation,P_Value
Degree_Centralization,-0.11420594345081143,0.060927024328479525
Avg_Betweenness,0.06832379019949986,0.2632367403031119
Gini_Coefficient,0.11324947359647469,0.06313670085991856
Degree_CV,0.12356437866362938,0.04248570628308068
Avg_Eigenvector,0.14497927578361863,0.017134540878733708
Max_Betweenness,0.1579440417993198,0.009333746126972174
Density,0.1673573490688356,0.0058392886374744706
Top2_Concentration,0.28595104610848726,1.7795250714084508e-06
Max_Degree,0.39441673315123227,1.7501817617028957e-11
Star_Weighted_Degree,0.39441673315123227,1.7501817617028957e-11
Avg_Degree,0.4337438069243729,8.212479888211458e-14
Std_Degree,0.45601284163722305,2.8548345563667534e-15
