Metric,Correlation,P_Value,Significant,N
Std_Weighted_Degree,0.46849504470282777,3.891454655890868e-16,True,270
Mean_Weighted_Degree,0.42330643214845737,3.650590262209479e-13,True,270
Star_Player_Degree,0.41876745256154935,6.874256542176087e-13,True,270
Max_Weighted_Degree,0.41876745256154935,6.874256542176087e-13,True,270
Total_Passes,0.3519172148444755,2.7296360338618883e-09,True,270
Top3_Concentration,0.32072385288293903,7.100833173362527e-08,True,270
Top2_Concentration,0.29666923631255254,6.892539307648724e-07,True,270
Top1_Concentration,0.23747713224519187,8.129134685500115e-05,True,270
Star_Degree_Share,0.23747713224519187,8.129134685500115e-05,True,270
Avg_Clustering,0.21301532129201392,0.00042428907517866207,True,270
Std_Eigenvector,0.21038194612355932,0.0005015696300094035,True,270
Transitivity,0.20921116313337335,0.0005399556957626074,True,270
Std_Betweenness,0.19273937610756847,0.001461470462362381,True,270
Mean_Closeness,0.19021752141861395,0.001690586852426642,True,270
Graph_Density,0.18469416697167979,0.0023112922286330486,True,270
Max_Betweenness,0.16737940219740524,0.005832712628473025,True,270
Max_Closeness,0.12874016659821244,0.03448036604743944,True,270
Gini_Coefficient,0.12868418590122874,0.03455956262140274,True,270
Max_Eigenvector,0.12803512886041013,0.0354891289146636,True,270
Largest_Component_Pct,0.1138452501547944,0.061752711985726724,False,270
Mean_Eigenvector,0.09940316597362511,0.10313919612277075,False,270
Degree_Centralization,0.07984905964467354,0.19085425946551995,False,270
Min_Weighted_Degree,0.07960870945557796,0.1921973488421024,False,270
Mean_Betweenness,0.04237370811618503,0.48808855240881377,False,270
Avg_Clustering_Weighted,-0.00535478048859564,0.9302101592690736,False,270
Diameter,-0.10149059792214962,0.09606780525220251,False,270
Num_Strong_Components,-0.12580811816701382,0.03884147504770031,True,270
Num_Weak_Components,-0.13599052995494623,0.025445203304942467,True,270
Num_Components,-0.13599052995494623,0.025445203304942467,True,270
Degree_Equality,-0.13621942053627256,0.025196777858281977,True,270
APL,-0.15027184834472357,0.013442935032182534,True,270
Std_Closeness,-0.17519606200876062,0.003879751744852934,True,270
Pass_Entropy,-0.17825009877242018,0.0032934613666419222,True,270
Edge_Weight_Entropy,-0.18280026031265426,0.002567878162112332,True,270
Num_Triangles,-0.2450399149530724,4.7022060699191406e-05,True,270
Num_Edges,-0.2634171989736215,1.1544701725423352e-05,True,270
Largest_Component_Size,-0.26789120877490424,8.069688158895978e-06,True,270
Num_Nodes,-0.28731070197488384,1.5811753069204584e-06,True,270
