Team,Season,Win_Pct,Num_Nodes,Num_Edges,Total_Passes,Graph_Density,Is_Connected,Num_Components,Largest_Component_Size,Largest_Component_Pct,Is_Strongly_Connected,Is_Weakly_Connected,Num_Strong_Components,Num_Weak_Components,APL,Diameter,Mean_Weighted_Degree,Std_Weighted_Degree,Max_Weighted_Degree,Min_Weighted_Degree,Degree_Equality,Degree_Centralization,Mean_Betweenness,Max_Betweenness,Std_Betweenness,Mean_Closeness,Max_Closeness,Std_Closeness,Mean_Eigenvector,Max_Eigenvector,Std_Eigenvector,Avg_Clustering,Avg_Clustering_Weighted,Transitivity,Num_Triangles,Num_Communities,Modularity,Largest_Community_Size,Smallest_Community_Size,Community_Size_Std,Gini_Coefficient,Top1_Concentration,Top2_Concentration,Top3_Concentration,Pass_Entropy,Edge_Weight_Entropy,Star_Player_Degree,Star_Player_Name,Star_Degree_Share
CHI,2015-16,0.512,14,174,23343,0.9560439560439561,True,1,14,1.0,True,True,1,1,1.043956043956044,2,3334.714285714286,2200.023455348063,7833,835,0.6967434175116324,0.6184485755531332,0.08478327228327227,0.36217948717948717,0.12540543441568736,0.9617772108843539,1.0,0.05842358117223915,0.21733826070859072,0.5107830512773679,0.1555398722538246,0.9627039627039627,0.0994829918065601,0.96,320,,,,,,0.3573815337727431,0.16778049093946792,0.32009596024504133,0.45851004583815275,0.92185496933403,0.8874184121143939,7833,Derrick Rose,0.16778049093946792
ORL,2015-16,0.427,13,155,19660,0.9935897435897436,True,1,13,1.0,True,True,1,1,1.0,1,3024.6153846153848,1823.635740384978,7077,879,0.7333925097431817,0.6203311195892798,0.1220862470862471,0.7083333333333334,0.19869444932111885,1.0,1.0,0.0,0.22762062319644816,0.5312421508819926,0.15846743772377175,1.0,0.09367354434745669,1.0,286,,,,,,0.33099225291493856,0.17998474059003053,0.32019328585961343,0.44043743641912514,0.9323271689650915,0.8891755313296553,7077,Elfrid Payton,0.17998474059003053
ATL,2015-16,0.585,13,149,24029,0.9551282051282052,True,1,13,1.0,True,True,1,1,1.0512820512820513,2,3696.769230769231,2821.689977896393,8813,214,0.6318697668658864,0.6289099436438594,0.10168997668997672,0.6439393939393939,0.1672341878822755,0.9560439560439562,1.0,0.06593406593406595,0.21938034369268053,0.5228651520702254,0.1696919023535251,0.9580419580419581,0.08639910333715885,0.9534883720930233,246,,,,,,0.42966031429970836,0.18338257938324526,0.3335344791710017,0.4796912064588622,0.8769134436476141,0.8406783802118986,8813,Jeff Teague,0.18338257938324526
CHA,2015-16,0.585,11,113,21151,1.0272727272727273,True,1,11,1.0,True,True,1,1,1.0,1,3845.6363636363635,2864.7044992055626,10897,678,0.64312368127888,0.711801413233,0.12424242424242427,0.6555555555555556,0.1997651922316402,1.0,1.0,0.0,0.23872338529633838,0.6369442649359719,0.18417447223148734,1.0,0.062367012261905413,1.0,165,,,,,,0.3915095353325224,0.2576001134698123,0.4078766961372985,0.5420074700959765,0.8947727383691912,0.8418808925362661,10897,Kemba Walker,0.2576001134698123
POR,2015-16,0.537,11,93,21135,0.8454545454545455,False,2,10,0.9090909090909091,False,False,2,2,1.0,1,3842.7272727272725,2794.6866498901773,10174,0,0.6540579554771218,0.6845291920581875,0.09696969696969697,0.6333333333333333,0.189398653139994,0.8181818181818182,0.9,0.25873180855923106,0.26058106099629186,0.5557865830791646,0.1516792720154528,0.9090909090909091,0.1487491169438381,1.0,120,,,,,,0.3735595844893219,0.24069079725573692,0.43636148568724864,0.5434350603264727,0.8906965827307105,0.8856173374641035,10174,Damian Lillard,0.24069079725573692
UTA,2015-16,0.488,13,157,28211,1.0064102564102564,True,1,13,1.0,True,True,1,1,1.0128205128205128,2,4340.153846153846,1882.298956315586,8044,1424,0.8416866947193848,0.4988189955246146,0.13228438228438227,0.5378787878787878,0.20320538724236006,0.9881656804733728,1.0,0.027753939407239213,0.2576133211148193,0.4207097566355811,0.10275433668351865,0.9871794871794872,0.19715524116329997,0.9868421052631579,275,,,,,,0.2457306615259187,0.1425685016482932,0.2590301655382652,0.36099393853461414,0.961007367658767,0.921463668626953,8044,Gordon Hayward,0.1425685016482932
PHX,2015-16,0.28,14,178,21569,0.978021978021978,True,1,14,1.0,True,True,1,1,1.054945054945055,2,3081.285714285714,1637.0785140684272,6207,310,0.7798628621326731,0.5423157477289908,0.125,0.6538461538461539,0.20490988267261823,0.9529336734693877,1.0,0.06685713812005248,0.234525855855021,0.4820658501820022,0.12816471575297683,0.9553280053280053,0.183055603751074,0.950920245398773,310,,,,,,0.29378804236238515,0.14388706013259772,0.2484120728823775,0.34786035513932034,0.9346554153656662,0.9049367263171174,6207,Brandon Knight,0.14388706013259772
NOP,2015-16,0.366,15,196,20130,0.9333333333333333,True,1,15,1.0,True,True,1,1,1.0952380952380953,2,2684.0,1530.0891477296348,6550,388,0.7547233382889321,0.6323882224645584,0.1047008547008547,0.5668498168498168,0.15087235270282578,0.9232352941176472,1.0,0.08888699056027541,0.21483583097403977,0.4996539691683421,0.1432209216433146,0.9409390609390609,0.10348025470835319,0.9328621908127208,352,,,,,,0.3113164431197218,0.16269249875807254,0.2799552906110283,0.3756582215598609,0.9410962733237214,0.8988030167424299,6550,Jrue Holiday,0.16269249875807254
MIA,2015-16,0.585,13,151,21432,0.967948717948718,True,1,13,1.0,True,True,1,1,1.064102564102564,2,3297.230769230769,2339.437642940521,9506,393,0.6651533070180865,0.7075706571288309,0.11596736596736597,0.7803030303030303,0.2419573121151709,0.9440405748098057,1.0,0.06157235743594286,0.22855247311069957,0.5949190406249414,0.15712047593506032,0.9402097902097902,0.08109437833167689,0.9375,235,,,,,,0.37181281764148505,0.2217711832773423,0.3603023516237402,0.4738708473310937,0.91035689731876,0.8787211563065527,9506,Goran Dragic,0.2217711832773423
BOS,2015-16,0.585,10,92,22512,1.0222222222222221,True,1,10,1.0,True,True,1,1,1.0,1,4502.4,2323.5677394902864,10479,1372,0.7896826423756309,0.633711868180806,0.10555555555555554,0.7083333333333333,0.21874007914011143,1.0,1.0,0.0,0.2895025408643762,0.5761051544394592,0.12723316718949573,1.0,0.1501242855754516,1.0,120,,,,,,0.25727611940298506,0.23274253731343283,0.3654495380241649,0.4715929282160625,0.947895122732046,0.9011218214711981,10479,Isaiah Thomas,0.23274253731343283
DET,2015-16,0.537,11,112,16074,1.018181818181818,True,1,11,1.0,True,True,1,1,1.0,1,2922.5454545454545,1865.1552391465175,7351,489,0.7105838543686659,0.66267174534077,0.11464646464646465,0.4666666666666667,0.14911396991179202,1.0,1.0,0.0,0.2544512838777814,0.5809958309741609,0.16175176982660694,1.0,0.0963562798782513,1.0,165,,,,,,0.3450801407128395,0.22866119198705984,0.37249595620256315,0.49741819086723904,0.9158362018861977,0.8487502492730349,7351,Reggie Jackson,0.22866119198705984
GSW,2015-16,0.89,11,109,23295,0.990909090909091,True,1,11,1.0,True,True,1,1,1.018181818181818,2,4235.454545454545,2690.469589415619,9698,1385,0.7124985169876406,0.619591668385234,0.14444444444444446,0.5,0.18442436302997592,0.9834710743801653,1.0,0.03506314617453956,0.25214391660171576,0.5414462846290807,0.16532554621061415,0.9818181818181817,0.10613282635568934,0.9811320754716981,156,,,,,,0.3355928896173584,0.20815625670744795,0.403026400515132,0.5081562567074479,0.9228056187101109,0.8827064021001702,9698,Stephen Curry,0.20815625670744795
SAS,2015-16,0.817,14,182,24797,1.0,True,1,14,1.0,True,True,1,1,1.021978021978022,2,3542.4285714285716,2117.9256264523724,8046,559,0.7366736397156122,0.602783992045737,0.08653846153846154,0.5587606837606837,0.15393304085600312,0.9802721088435374,1.0,0.040118755640235995,0.21997336109927076,0.5275591221020062,0.15179028900183716,0.9798534798534798,0.11104237615485488,0.9789473684210527,341,,,,,,0.33608904302939874,0.16223736742347863,0.28249385006250755,0.39073274992942697,0.9250727781219334,0.8785983436906164,8046,Tony Parker,0.16223736742347863
OKC,2015-16,0.671,12,136,18987,1.0303030303030303,True,1,12,1.0,True,True,1,1,1.0,1,3164.5,2554.138716540927,10111,1034,0.6055297552784217,0.7494807635248739,0.11704545454545455,0.6681818181818181,0.18813940562894638,1.0,1.0,0.0,0.21598278219018843,0.6331797499738225,0.191532689457228,1.0,0.0505502094081224,1.0,220,,,,,,0.40165639648180335,0.2662611260336019,0.42394796439669247,0.5325749196818876,0.8903931332554267,0.8220243202484936,10111,Russell Westbrook,0.2662611260336019
BKN,2015-16,0.256,14,173,18453,0.9505494505494505,True,1,14,1.0,True,True,1,1,1.054945054945055,2,2636.1428571428573,1762.830712929911,6253,548,0.6909985735887259,0.6229133093038418,0.127518315018315,0.5769230769230769,0.18176689730842294,0.9517006802721089,1.0,0.05895255521984568,0.22667111761749367,0.42500358450085346,0.14159369995380366,0.9495171495171496,0.11811681253496512,0.9467213114754098,308,,,,,,0.37531644099681816,0.1694304449141061,0.30957025957838835,0.4336151303311115,0.9145009896420541,0.8606837722399767,6253,Shane Larkin,0.1694304449141061
MIN,2015-16,0.354,10,91,18672,1.011111111111111,True,1,10,1.0,True,True,1,1,1.0444444444444445,2,3734.4,2269.6970811101646,9022,1421,0.7302480760049231,0.6511983053769798,0.12847222222222218,0.6458333333333333,0.2047198194491892,0.96,1.0,0.04898979485566355,0.26695373051626736,0.605924598730729,0.16951609293352676,0.9523809523809523,0.11202107675725478,0.9512195121951219,104,,,,,,0.32221508140531274,0.2415916880891174,0.3855773350471294,0.5235914738646101,0.9261284677251795,0.8678321401468753,9022,Ricky Rubio,0.2415916880891174
LAL,2015-16,0.207,15,211,22468,1.0047619047619047,True,1,15,1.0,True,True,1,1,1.019047619047619,2,2995.733333333333,2175.619282462403,7808,519,0.6546972632258011,0.6603483606557377,0.10866910866910869,0.6483516483516484,0.17125167849030104,0.9827777777777779,1.0,0.03657395686807286,0.21581954137681345,0.4569958086767869,0.14173423096263152,0.9824175824175824,0.11457108059065667,0.9817351598173516,430,,,,,,0.3995074476292208,0.1737582339327043,0.32018871283603345,0.44213993234822857,0.9047909280069549,0.8615982740703242,7808,D'Angelo Russell,0.1737582339327043
