Metric,Description,Deni,AllStar_Mean,AllStar_Median,AllStar_Std,All_Mean,Pct_vs_All,Pct_vs_AllStars,Z_vs_All,Z_vs_AllStars,vs_AllStar_Avg
Weighted_Degree,Total Pass Volume,7400.0,7065.646198830409,7145.0,1813.2600881244043,2943.3151706337826,95.6696300544881,56.14035087719298,2.1014227901863234,0.18439373554813035,104.73210505820315
Weighted_In_Degree,Passes Received,4000.0,3746.3976608187136,3740.0,1011.4377298108049,1471.6575853168913,96.09979925437338,61.69590643274854,2.215729436369191,0.2507345056514,106.76923172981765
Weighted_Out_Degree,Passes Made,3400.0,3319.248538011696,3374.0,878.1387405900783,1471.6575853168913,94.55119013478634,50.877192982456144,1.9081787785770672,0.09195752135253928,102.43282360641413
Eigenvector_Centrality,Influence (Eigenvector),0.42,0.5184388553001642,0.517114265700324,0.05780587817083241,0.2314633476265825,85.20217952394609,4.093567251461988,1.2205124354778127,-1.7029211978970389,81.01244644497751
Betweenness_Centrality,Bridge Role (Betweenness),0.008,0.011630567383921353,0.0,0.03872804847407177,0.10563508089660899,56.66762259822197,88.01169590643275,-0.5232359831881283,-0.0937451673133491,68.78426250347493
Degree_Per_Game,Ball Involvement/Game,185.0,100.06444934202715,102.12784471218205,21.67589819434646,46.137105927346106,100.0,100.0,4.879360891624322,3.9184328094014518,184.88084551153358
In_Degree_Per_Game,Received/Game,100.0,53.06790588920194,53.93874378109453,12.346543636270054,23.040512561809813,100.0,100.0,4.93913042904813,3.8012334053497465,188.43781062095317
Out_Degree_Per_Game,Made/Game,85.0,46.996543452825215,47.576169083112106,10.55674673616166,23.09659336553629,100.0,100.0,4.633675283224226,3.599921215974203,180.8643652385252
In_Out_Ratio,Receive vs Make Ratio,1.1764705882352942,1.1365557300314622,1.1503726090821424,0.16112152147068318,0.9696540543274897,81.50272440493261,56.72514619883041,0.8772841030213799,0.24773138833035846,103.5119138594926
Out_In_Ratio,Make vs Receive Ratio,0.85,0.9004196299372301,0.8687882370936328,0.15470762257861984,1.0804859368655986,19.271580154860914,43.567251461988306,-0.8086041473383966,-0.3259026872551657,94.40042972622165
Net_Pass_Flow,Net Flow (+ = Receiver),600.0,427.14912280701753,492.0,548.0471793878747,0.0,93.05993690851734,58.77192982456141,1.5549682331731665,0.3153941552733529,140.46616695759317
Degree_Concentration,Team Degree Share,0.18,0.18559215678831434,0.18175671887198233,0.034751083542626515,0.07743045597935187,94.66590192142242,48.24561403508772,1.9289499027976458,-0.16092035753230172,96.9868571576046
In_Degree_Concentration,Team In-Degree Share,0.2,0.1970038045668187,0.19167396841901568,0.042198929233647785,0.07743045597935187,95.75566389446516,58.187134502923975,2.1273803786591157,0.07100169335084108,101.52088201533442
Out_Degree_Concentration,Team Out-Degree Share,0.16,0.17418050900981003,0.17098653288227827,0.032318964424581056,0.07743045597935187,92.19959850874677,34.21052631578947,1.6387263064055602,-0.4387674315153692,91.85872799980659
Avg_Pass_Per_Connection_In,Avg Received per Teammate,333.3333333333333,293.632770008486,291.4455128205128,92.54201479667915,118.01402150152423,96.67335818755377,68.71345029239765,2.3273522166949467,0.4290004211824442,113.5204811519164
Avg_Pass_Per_Connection_Out,Avg Made per Teammate,283.3333333333333,260.79690126408394,257.0604395604396,82.36975745161357,118.41009316435986,95.3828505878979,61.98830409356725,1.9899356400975579,0.2736008064912409,108.64137263902107
In_Degree,Unique Passers To,12.0,12.002923976608187,12.0,1.419385142196007,11.429308861485518,49.240034413535994,35.38011695906433,0.3202466844219751,-0.0020600304464673883,99.97563946406821
Out_Degree,Unique Receivers From,12.0,11.985380116959064,12.0,1.423439002588558,11.429308861485518,49.584169773444216,35.67251461988304,0.3214686352643457,0.01027081807815402,100.12198097096854
