Team,Season,Win_Pct,Is_Champion,Player1_Name,Player1_Degree,Player2_Name,Player2_Degree,Duo_Avg_Degree,Duo_Total_Degree,Duo_Gap,Duo_Concentration,GP,Duo_Avg_Per_Game
ATL,2015-16,0.585,False,Jeff Teague,8813,Al Horford,7216,8014.5,16029,1597,0.3335344791710017,79,101.4493670886076
ATL,2016-17,0.524,False,Dennis Schröder,9834,Paul Millsap,5851,7842.5,15685,3983,0.3497680849165998,79,99.27215189873418
ATL,2017-18,0.293,False,Dennis Schröder,7150,Taurean Prince,4612,5881.0,11762,2538,0.3296709456808117,67,87.77611940298507
ATL,2018-19,0.354,False,Trae Young,9860,John Collins,4387,7123.5,14247,5473,0.37866787157133747,81,87.94444444444444
ATL,2019-20,0.299,False,Trae Young,6009,John Collins,3212,4610.5,9221,2797,0.34901589704769115,60,76.84166666666667
ATL,2020-21,0.569,False,Trae Young,8014,Kevin Huerter,4158,6086.0,12172,3856,0.36700235180606644,63,96.60317460317461
ATL,2021-22,0.524,False,Trae Young,8993,Kevin Huerter,3967,6480.0,12960,5026,0.3597002497918401,76,85.26315789473684
ATL,2022-23,0.5,False,Trae Young,8430,Dejounte Murray,7693,8061.5,16123,737,0.4250949166842438,73,110.43150684931507
ATL,2023-24,0.439,False,Dejounte Murray,9313,Trae Young,6874,8093.5,16187,2439,0.3897664339032025,78,103.76282051282051
BKN,2015-16,0.256,False,Shane Larkin,6253,Thaddeus Young,5172,5712.5,11425,1081,0.30957025957838835,78,73.23717948717949
BKN,2016-17,0.244,False,Trevor Booker,4855,Brook Lopez,4505,4680.0,9360,350,0.2260432766615147,71,65.91549295774648
BKN,2017-18,0.341,False,Spencer Dinwiddie,8191,Rondae Hollis-Jefferson,5119,6655.0,13310,3072,0.29957236101733065,80,83.1875
BKN,2018-19,0.512,False,D'Angelo Russell,9776,Spencer Dinwiddie,6330,8053.0,16106,3446,0.32950081833060557,81,99.41975308641975
BKN,2019-20,0.486,False,Spencer Dinwiddie,6556,Joe Harris,3742,5149.0,10298,2814,0.3369984946658813,64,80.453125
BKN,2020-21,0.667,False,Kyrie Irving,5742,James Harden,4959,5350.5,10701,783,0.32625,54,99.08333333333333
BKN,2021-22,0.537,False,Kevin Durant,4047,Patty Mills,3474,3760.5,7521,573,0.27938335809806836,55,68.37272727272727
BKN,2022-23,0.549,False,Royce O'Neale,4463,Spencer Dinwiddie,3905,4184.0,8368,558,0.29252604348738026,76,55.05263157894737
BKN,2023-24,0.39,False,Mikal Bridges,4610,Cam Thomas,3581,4095.5,8191,1029,0.2899674313225715,82,49.94512195121951
BOS,2015-16,0.585,False,Isaiah Thomas,10479,Evan Turner,5975,8227.0,16454,4504,0.3654495380241649,82,100.32926829268293
BOS,2016-17,0.646,False,Isaiah Thomas,10108,Marcus Smart,6996,8552.0,17104,3112,0.32949335388171835,76,112.52631578947368
BOS,2017-18,0.671,False,Terry Rozier,6835,Kyrie Irving,6640,6737.5,13475,195,0.29466433413514104,80,84.21875
BOS,2018-19,0.598,False,Kyrie Irving,7566,Terry Rozier,6048,6807.0,13614,1518,0.30568528830608943,67,101.59701492537313
BOS,2019-20,0.667,False,Kemba Walker,5880,Jayson Tatum,5395,5637.5,11275,485,0.30572125813449025,56,100.66964285714286
BOS,2020-21,0.5,False,Jayson Tatum,4201,Marcus Smart,3477,3839.0,7678,724,0.3740257209664848,64,59.984375
BOS,2021-22,0.622,False,Marcus Smart,6208,Jayson Tatum,5949,6078.5,12157,259,0.39974352229383137,71,85.61267605633803
BOS,2022-23,0.695,False,Jayson Tatum,7291,Derrick White,5824,6557.5,13115,1467,0.29659867022479536,74,88.61486486486487
BOS,2023-24,0.78,True,Jayson Tatum,7189,Derrick White,6691,6940.0,13880,498,0.3316923959279262,74,93.78378378378379
CHA,2015-16,0.585,False,Kemba Walker,10897,Nicolas Batum,6357,8627.0,17254,4540,0.4078766961372985,81,106.50617283950618
CHA,2016-17,0.439,False,Kemba Walker,10191,Nicolas Batum,6628,8409.5,16819,3563,0.40602066434916956,79,106.4493670886076
CHA,2017-18,0.439,False,Kemba Walker,10386,Nicolas Batum,4997,7691.5,15383,5389,0.340663477721676,80,96.14375
CHA,2018-19,0.476,False,Kemba Walker,10749,Nicolas Batum,4632,7690.5,15381,6117,0.3242747512228032,82,93.78658536585365
CHA,2019-20,0.348,False,Devonte' Graham,8350,Terry Rozier,6309,7329.5,14659,2041,0.43140082401412594,63,116.34126984126983
CHA,2020-21,0.458,False,Terry Rozier,6776,Devonte' Graham,6283,6529.5,13059,493,0.3022916666666667,69,94.6304347826087
