Metric,Correlation,P_Value,Significant,Direction
Std_Weighted_Degree,0.4684950447028278,3.891454655890868e-16,True,Positive
Mean_Weighted_Degree,0.4233064321484573,3.650590262209579e-13,True,Positive
Max_Weighted_Degree,0.41876745256154935,6.874256542176087e-13,True,Positive
Avg_Degree_Per_Game,0.4176816008913184,7.986766823957353e-13,True,Positive
Max_Degree_Per_Game,0.4082702271470977,2.8660253619942754e-12,True,Positive
Top3_Concentration,0.3207238528829391,7.100833173362527e-08,True,Positive
Top2_Concentration,0.29666923631255243,6.892539307648724e-07,True,Positive
Gini_Coefficient,0.1286841859012288,0.03455956262140237,True,Positive
Degree_Centralization,0.07984905964467352,0.19085425946551995,False,Positive
Density,-0.13621942053627256,0.025196777858281977,True,Negative
Pass_Entropy,-0.17825009877242026,0.0032934613666419222,True,Negative
