Team,Season,Density,Std_Degree,Mean_Degree,Max_Degree,Entropy,GP,Made_Playoffs,Deep_Run,Is_Champion,Success_Level,N_Players
ATL,2015-16,0.6318697668658864,2821.6899778963934,3696.769230769231,8813,0.8769134436476141,82,True,False,False,First Round,13
ATL,2016-17,0.6720400762989248,2409.7600140768764,3449.5384615384614,9834,0.9123399156240578,82,True,False,False,First Round,13
ATL,2017-18,0.7472088374763622,1729.3352688886623,2973.1666666666665,7150,0.9339931438532445,82,False,False,False,Lottery,12
ATL,2018-19,0.6606484026723286,2247.105558021004,3135.3333333333335,9860,0.9165368562902153,82,False,False,False,Lottery,12
ATL,2019-20,0.5883923454651843,1473.1594920065136,1761.3333333333333,6009,0.8725819331415278,63,False,False,False,Lottery,15
ATL,2020-21,0.6446337428398755,1894.2239390739803,2551.230769230769,8014,0.9106501853308713,71,True,True,False,Deep Run,13
ATL,2021-22,0.7206956390916764,2039.0810480854252,3275.4545454545455,8993,0.9314047908356408,77,True,False,False,First Round,11
ATL,2022-23,0.5535009324172815,2433.229125995297,2709.1428571428573,8430,0.8577701075523174,80,True,False,False,First Round,14
ATL,2023-24,0.6175252112733263,2514.15841672292,3194.6153846153848,9313,0.8896097184961479,79,False,False,False,Lottery,13
BKN,2015-16,0.6909985735887259,1762.8307129299114,2636.1428571428573,6253,0.914500989642054,79,False,False,False,Lottery,14
BKN,2016-17,0.7756938779463619,1484.4595814264828,2760.5333333333333,4855,0.9370269337844923,78,False,False,False,Lottery,15
BKN,2017-18,0.7182800050790125,2140.399832691776,3417.6923076923076,8191,0.9165291587954721,80,False,False,False,Lottery,13
BKN,2018-19,0.7510321027681134,2164.8622624510353,3760.0,9776,0.944558817769826,81,True,False,False,First Round,13
BKN,2019-20,0.6766979438556598,1624.7568593703509,2350.6153846153848,6556,0.9122209188586552,70,True,False,False,First Round,13
BKN,2020-21,0.7075127970811602,1506.3715087749702,2342.8571428571427,5742,0.922468967818743,69,True,False,False,First Round,14
BKN,2021-22,0.7444646290224715,1051.4467281903644,1794.6666666666667,4047,0.9388847124622137,81,True,False,False,First Round,15
BKN,2022-23,0.786744569947563,1063.8055964032035,2043.2857142857142,4463,0.9519875825713353,83,True,False,False,First Round,14
