Player_Name,Team,Team_FullName,Season,Degree,In_Degree,Out_Degree,Weighted_Degree,Assists_Given,Assists_Received,Betweenness,Clustering,Team_Density,Team_PlayoffRank,Team_PlayoffWins,Team_PlayoffScore,Team_WinPCT,GP,MIN,PTS,AST,REB,STL,BLK,FG_PCT,FG3_PCT,EFF
Nikola Jokić,DEN,Denver Nuggets,2023-24,18,9,9,1144.0,681.0,463.0,0.0,0.19304387746293938,0.7878787878787878,2.0,57.0,6.0,0.695,79.0,34.6,26.4,9.0,12.4,1.4,0.9,0.583,0.359,38.5
Domantas Sabonis,SAC,Sacramento Kings,2023-24,19,9,10,1060.0,671.0,389.0,0.0,0.11839520266749763,0.9454545454545454,9.0,46.0,6.0,0.561,82.0,35.7,19.4,8.2,13.7,0.9,0.6,0.594,0.379,32.7
Tyrese Haliburton,IND,Indiana Pacers,2023-24,27,12,15,934.0,746.0,188.0,0.0001396440008937216,0.05413089559592426,0.7279411764705882,6.0,47.0,6.0,0.573,69.0,32.2,20.1,10.9,3.9,1.2,0.7,0.477,0.364,26.1
Giannis Antetokounmpo,MIL,Milwaukee Bucks,2023-24,26,13,13,899.0,474.0,425.0,0.0,0.09811382956915421,0.8351648351648352,3.0,49.0,6.0,0.598,73.0,35.2,30.4,6.5,11.5,1.2,1.1,0.611,0.274,36.4
LeBron James,LAL,Los Angeles Lakers,2023-24,22,11,11,886.0,565.0,321.0,0.0,0.11966056754597107,0.8589743589743589,8.0,47.0,6.0,0.573,71.0,35.3,25.7,8.3,7.3,1.3,0.5,0.54,0.41,29.9
Luka Dončić,DAL,Dallas Mavericks,2023-24,28,14,14,838.0,666.0,172.0,0.0,0.04998411407300492,0.7166666666666667,5.0,50.0,6.0,0.61,70.0,37.5,33.9,9.8,9.2,1.4,0.5,0.487,0.382,36.9
Kevin Durant,PHX,Phoenix Suns,2023-24,29,15,14,789.0,365.0,424.0,0.0,0.07069317599597437,0.6801470588235294,6.0,49.0,6.0,0.598,75.0,37.2,27.1,5.0,6.6,0.9,1.2,0.523,0.413,27.7
Jalen Brunson,NYK,New York Knicks,2023-24,28,13,15,767.0,515.0,252.0,0.0,0.06706174261018054,0.5588235294117647,2.0,50.0,6.0,0.61,77.0,35.4,28.7,6.7,3.6,0.9,0.2,0.479,0.401,25.6
Fred VanVleet,HOU,Houston Rockets,2023-24,22,11,11,750.0,579.0,171.0,3.10320001986048e-06,0.06715286076076052,0.9393939393939394,11.0,41.0,6.0,0.5,73.0,36.8,17.4,8.1,3.8,1.4,0.8,0.416,0.387,21.2
Dejounte Murray,ATL,Atlanta Hawks,2023-24,26,13,13,747.0,492.0,255.0,0.0,0.06542139218094001,0.8296703296703297,10.0,36.0,6.0,0.439,78.0,35.7,22.5,6.4,5.3,1.4,0.3,0.459,0.363,22.6
Devin Booker,PHX,Phoenix Suns,2023-24,30,14,16,732.0,463.0,269.0,1.6845942964956893e-05,0.05960111807375392,0.6801470588235294,6.0,49.0,6.0,0.598,68.0,36.0,27.1,6.9,4.5,0.9,0.4,0.492,0.364,26.7
Anthony Davis,LAL,Los Angeles Lakers,2023-24,23,12,11,729.0,259.0,470.0,0.0,0.09636599928572627,0.8589743589743589,8.0,47.0,6.0,0.573,76.0,35.5,24.7,3.5,12.6,1.2,2.3,0.556,0.271,33.5
D'Angelo Russell,LAL,Los Angeles Lakers,2023-24,23,11,12,727.0,470.0,257.0,0.0,0.09654741453372681,0.8589743589743589,8.0,47.0,6.0,0.573,76.0,32.7,18.0,6.3,3.1,0.9,0.5,0.456,0.415,18.6
James Harden,LAC,LA Clippers,2023-24,23,11,12,701.0,592.0,109.0,0.0,0.1209595514497151,0.5916666666666667,,,,0.622,72.0,34.3,16.6,8.5,5.1,1.1,0.8,0.428,0.381,22.4
Stephen Curry,GSW,Golden State Warriors,2023-24,26,13,13,696.0,369.0,327.0,0.0,0.1091807015597371,0.9120879120879121,10.0,46.0,6.0,0.561,74.0,32.7,26.4,5.1,4.5,0.7,0.4,0.45,0.408,23.2
Paolo Banchero,ORL,Orlando Magic,2023-24,24,12,12,687.0,425.0,262.0,0.0,0.0965401799254471,0.7802197802197802,5.0,47.0,6.0,0.573,80.0,35.0,22.6,5.4,6.9,0.9,0.6,0.455,0.339,21.7
Trae Young,ATL,Atlanta Hawks,2023-24,23,10,13,684.0,564.0,120.0,5.4926640351530504e-05,0.08751458634351816,0.8296703296703297,10.0,36.0,6.0,0.439,,,,,,,,,,
Tyrese Maxey,PHI,Philadelphia 76ers,2023-24,32,15,17,684.0,421.0,263.0,6.051240038727937e-06,0.04257897515426172,0.6862745098039216,7.0,47.0,6.0,0.573,70.0,37.5,25.9,6.2,3.7,1.0,0.5,0.45,0.373,23.7
Damian Lillard,MIL,Milwaukee Bucks,2023-24,25,13,12,681.0,509.0,172.0,0.0,0.061034899313719956,0.8351648351648352,3.0,49.0,6.0,0.598,73.0,35.3,24.3,7.0,4.4,1.0,0.2,0.424,0.354,23.6
Nikola Vučević,CHI,Chicago Bulls,2023-24,22,11,11,679.0,240.0,439.0,0.0,0.11374712656197662,0.9318181818181818,9.0,39.0,6.0,0.476,76.0,34.3,18.0,3.3,10.5,0.7,0.8,0.484,0.294,23.3
Anthony Edwards,MIN,Minnesota Timberwolves,2023-24,21,10,11,679.0,401.0,278.0,0.0,0.09425241410461642,0.9318181818181818,3.0,56.0,6.0,0.683,79.0,35.1,25.9,5.1,5.4,1.3,0.5,0.461,0.357,23.6
Victor Wembanyama,SAS,San Antonio Spurs,2023-24,22,11,11,666.0,262.0,404.0,0.0,0.10185576483856659,0.9102564102564102,14.0,22.0,6.0,0.268,71.0,29.7,21.4,3.9,10.6,1.2,3.6,0.465,0.325,27.1
Austin Reaves,LAL,Los Angeles Lakers,2023-24,22,11,11,657.0,434.0,223.0,0.0,0.09723881774928489,0.8589743589743589,8.0,47.0,6.0,0.573,82.0,32.1,15.9,5.5,4.3,0.8,0.3,0.486,0.367,18.2
Tyus Jones,WAS,Washington Wizards,2023-24,22,10,12,655.0,480.0,175.0,0.0,0.08078160008238598,0.6323529411764706,14.0,15.0,5.0,0.183,,,,,,,,,,
Shai Gilgeous-Alexander,OKC,Oklahoma City Thunder,2023-24,27,14,13,654.0,463.0,191.0,0.0,0.0947002089720519,0.6078431372549019,1.0,57.0,6.0,0.695,75.0,34.0,30.1,6.2,5.5,2.0,0.9,0.535,0.353,32.2
